FileName,MaxLongestRepeatingCharacterSubject,MinCharacterDiversitySubject,RatioNonAlphaNumToAllSubject,RatioDigitToAllSubject,RatioUpperToAllSubject,RatioUpperLowerSubject,CountCharsSubject,AllCountCapWordSubject,CountCapWordSubject,AllCountDigitWordSubject,SingleCharWordsSubject,WordsMaxCharSubject,AlphaOnlySubject,SingleDigitWordsSubject,AlphaNumericSubject,SingleLetterWordsSubject,MultipartMixedUnique,MultipartAlternativeUnique,TextPlainUnique,X_Mailman_Version,Year,Month,CountOfTo,Day,Hour,Minute,Second,FromGoogle,FromAOL,FromGOV,FromHotmail,FromMIL,FromYahoo,FromExample,ReplayGoogle,ReplayHotmail,ReplayMIL,ReplayYahoo,ToGoogle,ToAOL,ToGOV,ToHotmail,ToMIL,ToYahoo,ToExample,ToMSN,ToLocalhost,ReplayAOL,ReplayGOV,VocabularyRichness,Legomena,Dislegomena,YuleK,Entropy,Sichel,Honore,WordLengthWithoutStopwords,InverseFI_WithoutStopwords,ComplexWordsWithoutStopwords,FISimpleWithoutStopwords,SimpleWordsWithoutStopwords,FKRI_WithoutStopwords,FORCAST_WithoutStopwords,SMOG_WithoutStopWords,FRESWithoutStopwords,FogIndexWithoutStopWords,FogIndex,FRES,SMOG-I,FORCAST,FISimple,InverseFI,SMOG,FKRI,ARI,CLI,SimpleWords,ComplexWords,WordLength,TFISFWithoutStopwords,MaxLongestRepeatingCharacter,MinCharacterDiversity,UniqueHTMLAnchor,RatioNonAlphaNumToAll,RatioDigitToAll,RatioUpperToAll,RatioUpperLower,AvgWordsinSentences,AvgCharinParagraphs,AvgWordsinParagraphs,AvgSentenceinParagraphs,CountofParagraphs,SpamWords,FunctionWords,HTMLAnchor,HTMLNotAnchor,HTMLImage,LongestCapital,CountCapWord,SenBegLower,CountLines,SenBegUpper,AllCountDigitWord,CountSentence,SingleCharWords,HTMLTags,DuplicateWords,CountLowerChars,TFISF,SingleDigitWords,AllCountCapWord,QuestionMark,SingleLetterWords,ExclamationMark,CountUpperChars,Comma,CountWord,SemiColon,Colon,SingleQuote,Period,Space,Tab,Dollar,Ellipsis,WordsMinChar,MultipleExclamationMarks,AlphaOnly,AlphaChars,MultipleQuestionMarks,SpecialChars,WordsMaxChar,CountDigitChars,WordsAVGChar,CountWordLess3Char,CountChars,CountWordLonger6Char,AlphaNumeric,UniqueContentTypesAttachment,CountOfAttachments,Class
TRAIN_00002.eml,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1899,12,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.469635628,154,35,133.3409825,4.920029852,0.150862069,1844.856718,2.511450382,0.05074853,55,27.33859203,80,15.77844784,12,12.57427108,-13.02064673,19.70500424,14.67042167,53.83705986,13.5519,-8.6,39.71197291,0.068164367,13,9.107497692,26.45063326,-15.42364322,286,60,1.567867036,506,2,1.187432253,0,0.5,1,1,1,20.33333333,39.41463415,8.926829268,1.268292683,41,2,211,0,1,0,5,43,329,55,43,5,18,102,1,66,1702,948,5,10,3,13,0,65,29,407,2,6,5,23,382,0,0,0,1,0,361,1767,0,535,14,15,3.931174089,176,2425,84,0,0,0,ham
TRAIN_00005.eml,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1899,12,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.669230769,68,11,147.9289941,4.211397863,0.126436782,2228.818406,2.854166667,0.05033557,20,32.36666667,35,20.36416667,16.5,13,-42.7475,19.86666667,14.80215054,30.08959677,13.5519,12.7,37.59784946,0.067557751,13,11.61306452,40.01196347,-15.28185135,73,20,1.903225806,137,9,1.180248948,0,0.5,0,1,3,15.5,31.57142857,6.642857143,1.142857143,14,1,33,0,1,0,3,11,89,22,11,0,6,26,1,15,558,205,0,2,0,2,1,17,12,104,0,2,4,13,196,0,0,0,1,0,93,575,0,262,13,0,4.776923077,41,858,32,0,0,0,ham
TRAIN_00006.eml,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1899,12,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.637426901,86,9,105.331555,4.433177279,0.082568807,2436.701425,2.016393443,0.063187699,20,28.2848816,39,9.893442623,16.1,11.16496581,29.36867031,15.82586521,11.93488372,65.71457364,11.63795934,10,36.74108527,0.083787997,11.16496581,6.397596899,24.25475556,-15.43828651,100,20,1.496124031,160,18,1.243575228,0,0.5,1,1,0.5,14.55555556,41.4,8.733333333,1.466666667,15,2,68,0,1,0,3,38,95,25,38,2,9,25,1,15,580,281,0,9,0,8,0,41,6,137,0,0,3,11,138,0,0,0,1,0,129,621,0,200,13,7,3.707602339,60,852,33,0,0,0,ham
TRAIN_00007.eml.eml,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1899,12,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.631578947,44,10,206.0941828,3.835895867,0.166666667,1707.703834,1.794117647,0.07805326,8,32.81176471,25,8.018088235,17.5,10.74596669,46.42514706,12.81176471,11.32372881,69.98239407,11.20094326,15.2,38.44237288,0.088310133,10.74596669,6.09,23.62375,-15.42801582,48,8,1.440677966,56,2,1.292392221,0,0.333333333,1,1,1,15.75,27.77777778,6.888888889,1.111111111,9,1,26,0,1,0,2,19,42,17,19,4,4,31,1,11,233,81,0,4,0,5,0,21,8,68,0,5,1,6,68,0,0,0,1,0,59,254,0,102,13,26,3.010526316,33,398,11,0,0,0,ham
TRAIN_00008.eml.eml,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1899,12,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61589404,69,17,246.4804175,4.159293533,0.182795699,1944.195937,1.727272727,0.127536232,7,36.20454545,46,7.034318182,15.4,8.123475383,53.72960227,7.840909091,8.5,67.57625,9.181182445,12.3,38.72222222,0.117647059,8.809475019,5.994861111,28.40275974,-15.34989991,77,9,1.511111111,172,47,1.261657208,0,0.5,0.8,1,2,11.25,21.94736842,4.736842105,1.105263158,19,0,36,0,1,0,3,20,74,31,20,0,8,49,1,17,444,238,0,4,2,4,1,30,6,104,0,3,4,9,102,0,0,0,1,0,90,474,0,220,12,12,3.536423841,35,736,25,0,0,0,ham
TRAIN_00009.eml.eml,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1899,12,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.433014354,121,21,132.6663767,4.691929026,0.116022099,1820.703565,2.084745763,0.086627343,28,34.25556374,95,10.62086957,10.5,9.043321862,25.25811717,11.54369934,9.194676131,71.56473381,9.646316016,-5.2,39.39875776,0.108758589,9.255432422,5.740866608,20.90587992,-15.43261587,252,30,1.445578231,443,3,1.121324375,0,0.5,1,1,2,13.60869565,33.39473684,8.236842105,1.421052632,38,2,156,0,1,0,11,56,259,56,56,5,23,98,1,47,1312,777,4,23,7,18,0,104,12,328,0,5,6,31,287,0,0,1,1,0,294,1416,1,421,12,25,3.574162679,154,1972,49,15,0,0,ham
TRAIN_00010.eml.eml,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1899,12,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.503896104,142,27,369.4383539,4.560368414,0.139175258,2221.017705,2.345794393,0.070066793,30,34.45901202,84,14.43037383,11.6,11.01783726,0.623294393,14.27209613,12.36289271,52.10689834,11.89267334,0,40.08073503,0.080887218,11.40917866,9.125826912,32.67155714,-15.3342171,200,33,1.622406639,415,47,1.209191097,0,0.5,0.8,1,1,17.21428571,20.34615385,4.634615385,1.115384615,52,6,122,0,1,0,5,53,207,80,53,0,14,115,1,38,1219,698,0,13,0,13,2,71,7,270,0,6,7,26,351,0,1,1,1,0,241,1290,0,615,19,10,3.576623377,103,1994,56,0,0,0,ham
TRAIN_00012.eml.eml,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1899,12,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561904762,72,27,100.6802721,4.532036408,0.228813559,1371.649323,2.408450704,0.086162061,17,38.08490946,64,14.61257545,13.6,9.035608621,-2.067429577,11.60603622,9.095238095,42.33,9.417039792,8.8,40.76190476,0.109947644,9.035608621,9.261666667,47.37455357,-15.08191,112,17,1.841666667,341,70,1.17122446,0,0.4,1,1,1,9.714285714,21.7037037,5.037037037,1.148148148,27,2,43,0,1,0,5,41,92,45,41,14,14,46,1,34,753,445,12,3,3,0,1,55,4,167,0,15,0,36,227,1,0,0,1,0,120,808,0,594,11,95,5.214285714,58,1541,35,2,0,0,ham
TRAIN_00016.eml.eml,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1899,12,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.803030303,43,8,78.05325987,3.8876643,0.150943396,2220.517013,3.266666667,0.057142857,6,33.5,12,24.12666667,18.8,9.708203932,-73.33125,17.5,9.953658537,47.86539634,10.1185567,16.6,37.27073171,0.100465572,9.708203932,8.44695122,29.64294118,-15.35008207,34,6,1.756097561,39,3,1.215859412,0,0.5,1,1,0.333333333,10.75,24.14285714,6.142857143,1,7,0,21,0,1,0,3,8,40,14,8,1,4,11,1,4,236,65,0,1,1,1,0,8,2,55,0,4,3,9,41,0,0,0,1,0,41,244,0,77,12,4,4.424242424,29,338,9,1,0,0,ham
TRAIN_00017.eml,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1899,12,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,34,5,88,3.641560095,0.12195122,2291.32776,1.647058824,0.143419573,2,37.56078431,15,5.795294118,18.5,7.472135955,61.74215686,6.97254902,7.171929825,87.11517544,7.786337801,16.7,39.80350877,0.139432485,7.472135955,3.605263158,16.89727273,-15.47101435,33,2,1.263157895,27,2,1.320469248,0,0.4,0.5,0.6,0.2,13.33333333,43,10,1.25,4,0,19,0,1,0,3,1,37,10,1,0,3,6,1,5,168,47,0,0,0,2,0,2,1,42,0,0,0,3,37,0,0,0,1,0,38,170,0,49,9,2,3.64,14,230,5,2,0,0,ham
