FileName,MaxLongestRepeatingCharacterSubject,MinCharacterDiversitySubject,RatioNonAlphaNumToAllSubject,RatioDigitToAllSubject,RatioUpperToAllSubject,RatioUpperLowerSubject,CountCharsSubject,AllCountCapWordSubject,CountCapWordSubject,AllCountDigitWordSubject,SingleCharWordsSubject,WordsMaxCharSubject,AlphaOnlySubject,SingleDigitWordsSubject,AlphaNumericSubject,SingleLetterWordsSubject,MultipartMixedUnique,MultipartAlternativeUnique,TextPlainUnique,X_Mailman_Version,Year,Month,CountOfTo,Day,Hour,Minute,Second,FromGoogle,FromAOL,FromGOV,FromHotmail,FromMIL,FromYahoo,FromExample,ReplayGoogle,ReplayHotmail,ReplayMIL,ReplayYahoo,ToGoogle,ToAOL,ToGOV,ToHotmail,ToMIL,ToYahoo,ToExample,ToMSN,ToLocalhost,ReplayAOL,ReplayGOV,VocabularyRichness,Legomena,Dislegomena,YuleK,Entropy,Sichel,Honore,WordLengthWithoutStopwords,InverseFI_WithoutStopwords,ComplexWordsWithoutStopwords,FISimpleWithoutStopwords,SimpleWordsWithoutStopwords,FKRI_WithoutStopwords,FORCAST_WithoutStopwords,SMOG_WithoutStopWords,FRESWithoutStopwords,FogIndexWithoutStopWords,FogIndex,FRES,SMOG-I,FORCAST,FISimple,InverseFI,SMOG,FKRI,ARI,CLI,SimpleWords,ComplexWords,WordLength,TFISFWithoutStopwords,MaxLongestRepeatingCharacter,MinCharacterDiversity,UniqueHTMLAnchor,RatioNonAlphaNumToAll,RatioDigitToAll,RatioUpperToAll,RatioUpperLower,AvgWordsinSentences,AvgCharinParagraphs,AvgWordsinParagraphs,AvgSentenceinParagraphs,CountofParagraphs,SpamWords,FunctionWords,HTMLAnchor,HTMLNotAnchor,HTMLImage,LongestCapital,CountCapWord,SenBegLower,CountLines,SenBegUpper,AllCountDigitWord,CountSentence,SingleCharWords,HTMLTags,DuplicateWords,CountLowerChars,TFISF,SingleDigitWords,AllCountCapWord,QuestionMark,SingleLetterWords,ExclamationMark,CountUpperChars,Comma,CountWord,SemiColon,Colon,SingleQuote,Period,Space,Tab,Dollar,Ellipsis,WordsMinChar,MultipleExclamationMarks,AlphaOnly,AlphaChars,MultipleQuestionMarks,SpecialChars,WordsMaxChar,CountDigitChars,WordsAVGChar,CountWordLess3Char,CountChars,CountWordLonger6Char,AlphaNumeric,UniqueContentTypesAttachment,CountOfAttachments,Class
3-1msg1.eml,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1899,12,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.542857143,58,5,232.6530612,3.938937335,0.065789474,2086.471245,2.339285714,0.052139762,24,24.89350649,32,13.14811688,16.8,11.09039835,3.764155844,19.17922078,17.22970551,21.551242,11.90474599,15.7,26.80717029,0.058039297,11.42075358,10.86412292,56.43221987,-15.3017998,43,26,2.112676056,182,4,1.238307812,0,0.4,1,0.6,0,7.181818182,466,79,11,1,2,15,0,3,0,3,0,74,2,0,7,11,52,3,11,475,212,3,0,3,1,0,0,9,83,0,7,6,12,141,0,0,0,1,0,71,475,0,204,17,13,3.571428571,17,693,32,1,0,0,ham
3-1msg2.eml,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1899,12,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,44,3,1320,3.05510542,0.058823529,3355.195421,2.058823529,0.075141443,9,29.77882353,23,10.49811765,17.7,10.34846923,25.75652941,13.30823529,12.0604878,43.75590244,10.78635341,17.2,30.59707317,0.082915386,10.34846923,8.179365854,48.65571429,-15.27919861,28,9,1.829268293,99,2,1.291549665,0,0.5,1,0,0,8.6,242,43,5,1,0,7,0,1,0,0,0,42,2,0,1,5,55,1,2,234,112,0,0,0,3,0,0,4,44,0,2,2,6,99,0,0,0,1,0,41,234,0,156,12,9,2.44,11,400,15,1,0,0,ham
3-1msg3.eml,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1899,12,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.736842105,10,3,332.4099723,2.552085298,0.214285714,1030.553643,1.8,0.058823529,2,9,1,5.845,19.9,8.477225575,52.0175,17,11.6,86.45,8.834646275,19.7,16.6,0.086206897,8.477225575,1.22,106.49,-15.40198333,3,2,1.375,10,3,1.319507911,0,0.5,0,0,0,4,30,8,2,1,0,3,0,1,0,0,0,9,2,0,0,2,6,1,1,47,13,0,0,0,1,0,0,1,11,0,0,2,5,20,0,0,0,1,0,8,47,0,33,11,0,2.631578947,7,81,2,0,0,0,ham
3-375msg1.eml,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1899,12,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302533532,255,77,648.7414518,4.489355323,0.189655172,1936.409288,2.299610895,0.058353203,183,28.10978243,324,13.32512687,-12.4,11.79340342,4.939890119,17.13701978,16.18913753,13.01056267,12.46718525,-19,29.72551655,0.061769813,11.96000503,12.40842949,57.86001733,-15.22330444,390,190,2.191201354,2099,3,1.253451072,0,0.5,1,0.6,0,9.61971831,4185,683,71,1,17,77,0,1,0,3,0,607,2,0,82,71,596,1,133,4102,2361,14,0,0,3,0,0,73,761,6,20,16,73,1341,0,0,0,1,0,591,4102,0,2000,15,235,3.456780924,132,6338,305,10,0,0,ham
3-378msg1.eml,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1899,12,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.869565217,18,1,151.2287335,2.931923293,0.05,3135.494216,2.461538462,0.044289997,7,22.57846154,7,14.00215385,19.3,9.480740698,-4.050153846,22.57846154,18.78,13.237,9.881312548,19,26.28,0.053248136,9.480740698,11.74,48.336,-15.41145,10,7,2.25,36,2,1.296839555,0,0.166666667,0,0,0,3.2,107,16,5,1,0,2,0,1,0,0,0,17,2,0,0,5,6,1,1,115,42,0,0,1,0,1,0,0,17,0,0,0,3,23,0,0,0,4,0,16,115,0,30,12,0,4.913043478,0,146,8,0,0,0,ham
3-378msg2.eml,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1899,12,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.761904762,66,11,101.5873016,4.217885903,0.1375,2659.405914,2.428571429,0.057460781,23,27.56190476,39,14.75714286,16.1,11.75595036,-5.727142857,17.4031746,15.94567901,11.78888889,12.64314379,14.6,30.26666667,0.062712914,12.12870929,12.6808642,42.36388889,-15.34336296,54,25,2.197530864,157,2,1.276518007,0,0,1,0,0,9.444444444,572,85,9,1,1,18,0,1,0,0,0,83,2,0,2,9,18,1,10,561,192,0,0,1,0,0,0,7,85,1,0,0,7,104,0,0,0,2,0,81,561,0,124,13,11,5.447619048,7,697,45,2,0,0,ham
3-378msg3.eml,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1899,12,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.864864865,29,2,116.8736304,3.386113422,0.0625,3851.645773,2.4,0.047169811,12,22.8,13,13.744,18.7,11.48528137,-1.28,21.2,19.38285714,10.801,11.97204847,18.5,23.66857143,0.051591981,11.48528137,12.13,57,-15.38416667,15,12,2.25,61,2,1.25992105,0,0.4,0,0.6,0,5.6,199,28,5,1,1,3,0,1,0,3,0,28,2,0,0,5,8,1,1,199,67,0,0,0,1,0,0,2,30,0,0,0,4,36,0,0,0,1,0,28,199,0,45,16,0,5.648648649,2,245,15,0,0,0,ham
3-378msg4.eml,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1899,12,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,10,1,546.875,2.339371734,0.083333333,1663.553233,2.3,0.111111111,2,37,9,12.4275,19.1,6.872983346,9.7175,9,9,9.7175,7.16142163,19.1,37,0.111111111,6.872983346,12.4275,30.45833333,-15.36119556,9,2,2.3,15,2,1.348006155,0,0.142857143,0,0,0,2.5,65,10,4,1,0,0,0,1,0,0,0,11,2,0,0,4,5,1,1,74,15,0,0,0,0,0,0,0,11,0,0,0,4,16,0,0,0,3,0,10,74,0,22,11,0,4.5,1,97,5,0,0,0,ham
3-378msg5.eml,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1899,12,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.740740741,33,5,246.9135802,3.491524028,0.125,2279.419455,2.303030303,0.054675591,14,24.35030303,19,12.32675758,18.1,9.480740698,8.649136364,18.28969697,16.61513514,17.87409459,9.881312548,17.7,26.34486486,0.060186089,9.480740698,11.13943243,43.4073913,-15.43445781,23,14,2.189189189,90,2,1.276518007,0,0.4,0,0.6,0,3.7,236,37,10,1,0,4,0,1,0,3,0,38,2,0,0,10,14,1,5,240,98,0,0,0,0,1,0,3,40,0,0,0,8,53,0,0,0,2,0,37,240,0,70,11,0,4.648148148,5,311,17,0,0,0,ham
3-379msg1.eml,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1899,12,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,54,9,252,3.886039649,0.134328358,2373.433865,2.596774194,0.047700313,29,24.19002933,34,16.25739003,16.6,11.89330698,-18.57300587,20.96422287,19.90039526,-5.514426877,12.55618997,16.4,23.37865613,0.050250258,12.04534034,14.41679842,64.20136364,-15.34334879,36,30,2.434782609,152,2,1.270981615,0,0.142857143,1,0,0,6.636363636,502,73,11,1,1,7,0,1,0,0,0,70,2,0,4,11,28,1,11,493,169,0,0,0,3,0,0,10,75,0,1,0,12,99,0,0,0,1,0,69,493,0,126,15,22,5.17,6,642,38,0,0,0,ham
