FileName,MaxLongestRepeatingCharacterSubject,MinCharacterDiversitySubject,RatioNonAlphaNumToAllSubject,RatioDigitToAllSubject,RatioUpperToAllSubject,RatioUpperLowerSubject,CountCharsSubject,AllCountCapWordSubject,CountCapWordSubject,AllCountDigitWordSubject,SingleCharWordsSubject,WordsMaxCharSubject,AlphaOnlySubject,SingleDigitWordsSubject,AlphaNumericSubject,SingleLetterWordsSubject,MultipartMixedUnique,MultipartAlternativeUnique,TextPlainUnique,X_Mailman_Version,Year,Month,CountOfTo,Day,Hour,Minute,Second,FromGoogle,FromAOL,FromGOV,FromHotmail,FromMIL,FromYahoo,FromExample,ReplayGoogle,ReplayHotmail,ReplayMIL,ReplayYahoo,ToGoogle,ToAOL,ToGOV,ToHotmail,ToMIL,ToYahoo,ToExample,ToMSN,ToLocalhost,ReplayAOL,ReplayGOV,VocabularyRichness,Legomena,Dislegomena,YuleK,Entropy,Sichel,Honore,WordLengthWithoutStopwords,InverseFI_WithoutStopwords,ComplexWordsWithoutStopwords,FISimpleWithoutStopwords,SimpleWordsWithoutStopwords,FKRI_WithoutStopwords,FORCAST_WithoutStopwords,SMOG_WithoutStopWords,FRESWithoutStopwords,FogIndexWithoutStopWords,FogIndex,FRES,SMOG-I,FORCAST,FISimple,InverseFI,SMOG,FKRI,ARI,CLI,SimpleWords,ComplexWords,WordLength,TFISFWithoutStopwords,MaxLongestRepeatingCharacter,MinCharacterDiversity,UniqueHTMLAnchor,RatioNonAlphaNumToAll,RatioDigitToAll,RatioUpperToAll,RatioUpperLower,AvgWordsinSentences,AvgCharinParagraphs,AvgWordsinParagraphs,AvgSentenceinParagraphs,CountofParagraphs,SpamWords,FunctionWords,HTMLAnchor,HTMLNotAnchor,HTMLImage,LongestCapital,CountCapWord,SenBegLower,CountLines,SenBegUpper,AllCountDigitWord,CountSentence,SingleCharWords,HTMLTags,DuplicateWords,CountLowerChars,TFISF,SingleDigitWords,AllCountCapWord,QuestionMark,SingleLetterWords,ExclamationMark,CountUpperChars,Comma,CountWord,SemiColon,Colon,SingleQuote,Period,Space,Tab,Dollar,Ellipsis,WordsMinChar,MultipleExclamationMarks,AlphaOnly,AlphaChars,MultipleQuestionMarks,SpecialChars,WordsMaxChar,CountDigitChars,WordsAVGChar,CountWordLess3Char,CountChars,CountWordLonger6Char,AlphaNumeric,UniqueContentTypesAttachment,CountOfAttachments,Class
00001.eml,1,1.348006155,0,0,0.5,1,24,0,4,0,1,9,4,0,0,0,0,0,1,2.0.1,2002,8,1,4,17,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.506578947,108,14,138.5041551,4.625244218,0.090909091,1913.961448,1.886178862,0.077045946,21,39.97113821,104,11.73691057,9.6,11.87411967,31.65864329,12.97926829,14.0311828,52.69754032,12.59541796,4.9,41.77311828,0.071269829,12.08295106,9.978776882,38.03955298,-15.30861115,151,22,1.543010753,336,47,1.148471822,0,0.5,1,1,0.5,24.25,27.86666667,6.466666667,1.1,30,2,57,0,5,0,4,27,171,51,27,8,8,62,5,29,966,432,4,6,0,6,0,45,9,241,0,20,5,40,225,0,3,6,1,0,186,1011,0,427,10,116,4.207236842,81,1604,55,1,0,0,ham
00002.eml,4,1.316074013,0.4,0,1,0.125,25,1,2,0,1,9,3,0,0,0,0,0,1,0,2002,8,1,4,17,16,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.737226277,78,18,77.78784165,4.46258662,0.178217822,2160.513363,2.220338983,0.06796452,13,37.76440678,47,15.1925,15.3,12.87420883,4.023072034,14.71355932,15.15252525,40.71375,13.42069981,12,42.22323232,0.0659956,12.87420883,11.87666667,41.498625,-15.28084848,80,13,1.666666667,92,69,1.138657634,0,0.5,1,1,3,25.75,31.53333333,6.866666667,1,15,2,35,0,1,0,3,25,79,27,25,4,4,27,1,16,531,131,1,1,1,5,2,43,9,111,0,4,3,8,102,0,0,0,1,0,99,574,0,287,12,12,4.474452555,47,899,27,3,0,0,ham
00003.eml,4,1.430969081,0.4,0,0.6,0.2,25,0,1,0,0,9,3,0,0,0,0,0,1,0,2002,8,1,4,18,22,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.606164384,134,26,101.0977669,4.828781016,0.146892655,2336.710286,2.2578125,0.052994171,44,30.4325,81,14.2111875,11.9,14.48912529,2.8320625,18.87,16.91495798,43.33682353,15.10505768,2.6,38.76369748,0.059119272,14.48912529,10.63129412,34.66775862,-15.38441149,174,44,1.647058824,316,69,1.138657634,0,0.5,1,1,3,24.1,41.82142857,8.571428571,1.107142857,28,3,88,0,1,0,6,59,186,39,59,3,10,42,1,36,1195,472,1,5,0,6,2,96,17,253,0,4,2,15,227,0,0,0,1,0,238,1291,0,409,12,13,4.599315068,96,1751,67,3,0,0,ham
00004.eml,2,1.379729661,0.4,0,1,1,37,1,7,0,1,5,7,0,0,0,0,0,1,2.0.6,2002,8,1,4,18,53,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.704918033,107,8,73.45695602,4.651410537,0.062015504,3054.653244,2.105882353,0.061914672,24,32.1512605,58,12.49084034,14.2,13.14185106,16.35235294,16.1512605,15.27880486,46.41470588,13.91797568,8.2,39.59253035,0.065450145,13.35098339,10.26533147,31.98306295,-15.38443775,118,25,1.633986928,195,47,1.173855144,0,0.5,1,1,1,22.71428571,35.52380952,7.476190476,1,21,1,67,0,1,0,2,36,123,33,36,6,7,17,1,19,783,299,1,3,0,3,0,42,9,166,0,3,3,14,151,0,0,1,1,0,153,825,0,243,11,27,4.792349727,57,1127,39,0,0,0,ham
00005.eml,4,1.320469248,0.4,0,0.6,1,46,0,2,0,1,9,8,0,0,0,0,0,1,0,2002,8,1,4,19,14,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.706586826,89,19,61.67306106,4.618759018,0.161016949,2082.494034,2.4,0.05952381,18,36.13333333,47,16.396,15.3,13.39230485,-8.385,16.8,15.93846154,41.18038462,13.96107395,8.9,44.55384615,0.062741313,13.39230485,12.49261538,34.30891892,-15.33750564,111,18,1.646153846,164,69,1.138657634,0,0.4,1,1,3,26.2,31.5,7.277777778,1.111111111,18,5,65,0,1,0,3,25,113,32,25,1,5,29,1,22,660,270,1,4,1,9,2,43,4,143,1,4,3,13,137,0,0,0,1,0,130,703,0,314,16,4,4.520958084,61,1052,28,3,0,0,ham
00006.eml,4,1.320469248,0.4,0,0.6,1,46,0,2,0,1,9,8,0,0,0,0,0,1,0,2002,8,1,4,19,24,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.719008264,69,12,92.88982993,4.293123613,0.137931034,2317.96543,2.325,0.081967213,9,37.2,34,14.497,16.6,10.34846923,2.02,12.2,11.2,59.785,10.78635341,12.4,40.97777778,0.089285714,10.34846923,8.300222222,32.21644737,-15.33404702,76,9,1.522222222,126,69,1.138657634,0,0.5,1,1,3,18.2,27,7,1.153846154,13,3,49,0,1,0,3,17,79,26,17,1,5,22,1,13,424,196,1,1,2,4,2,35,2,100,0,3,2,8,94,0,0,0,1,0,90,459,0,255,13,4,4.123966942,53,743,14,3,0,0,ham
00007.eml,4,1.379729661,0.4,0,0.6,0.166666667,47,0,1,0,1,9,9,0,0,1,0,0,1,0,2002,8,1,4,19,24,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.624489796,114,18,73.3027905,4.785977657,0.117647059,2158.185913,1.964285714,0.084609186,16,35.62857143,66,10.80607143,13.4,10.74596669,29.99892857,11.81904762,12.83624339,65.13181548,11.20094326,4.1,43.10079365,0.077904413,10.74596669,8.58135582,27.78712264,-15.40235975,159,16,1.391534392,238,69,1.138657634,0,0.5,1,1,3,24.25,36.71428571,9.238095238,1.095238095,21,3,100,0,1,0,6,31,163,39,31,5,8,43,1,32,812,400,1,5,0,11,2,55,12,204,0,3,0,13,213,0,0,0,1,0,189,867,0,395,12,26,3.795918367,90,1326,28,3,0,0,ham
00008.eml,4,1.320469248,0.4,0,0.6,1,46,0,2,0,1,9,8,0,0,0,0,0,1,0,2002,8,1,4,19,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.634615385,102,15,101.2389053,4.603336008,0.113636364,2348.516755,2.28,0.073170732,20,35,60,13.654,14,10.74596669,6.3345,13.66666667,11.33333333,57.942,11.20094326,8,38,0.088235294,10.74596669,7.734,32.49425,-15.34603467,120,20,1.58,231,69,1.138657634,0,0.5,1,1,3,15.1,28.59090909,6.863636364,1.227272727,22,2,74,0,3,0,3,35,125,40,35,1,10,42,3,20,762,348,1,5,1,9,2,54,6,171,0,7,10,21,154,0,0,0,1,0,150,816,0,361,16,5,4.259615385,84,1221,29,4,0,0,ham
00009.eml,4,1.291549665,0.4,0,0.6,0.111111111,32,0,1,0,0,10,3,0,0,0,0,0,1,0,2002,8,1,4,19,35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462063086,401,64,87.59172893,5.59812414,0.118081181,2716.657701,1.88261851,0.080802701,88,36.48417607,355,10.08614842,-15.5,11.1240384,36.32434904,12.37582393,13.59591837,64.73607143,11.83266735,-61.5,43.06530612,0.073551486,11.35164654,8.707678571,24.09694785,-15.44762761,815,93,1.385714286,1796,69,1.138657634,0,0.5,1,1,3,24.975,47.86956522,10.83695652,1.206521739,92,8,504,0,1,0,3,126,868,127,126,17,40,165,1,121,4411,2758,1,9,3,42,3,144,64,1027,0,6,0,42,1061,0,0,0,1,0,980,4555,0,1367,13,67,3.981244672,443,6115,221,5,0,0,ham
00010.eml,1,1.282088854,0.4,0,1,0.5,36,2,5,0,0,12,5,0,0,0,0,0,1,2.0.9-sf.net,2002,8,1,4,19,55,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.796460177,77,7,59.51914794,4.384652283,0.077777778,3272.806951,2.854166667,0.069398546,14,36.90952381,41,20.37345238,15.9,10.74596669,-41.5875,14.40952381,11.33579109,24.15,11.20094326,11.4,42.30353303,0.088216163,10.74596669,12.80142857,32.19622924,-15.27592528,86,14,2,126,55,1.158141915,0,0.180327869,0.098360656,1,3,13.28571429,32.84615385,7.076923077,1.230769231,13,4,38,0,1,0,4,19,82,20,19,0,7,17,1,12,577,201,0,7,2,7,1,34,2,101,0,3,0,12,90,0,0,0,1,0,93,611,0,231,13,6,5.716814159,37,867,27,3,0,0,ham
